artifact_index,artifact,artifact_id,admission_state,reason,candidate_rows,win_cells,loss_cells,tie_cells,team_points_cells,playoff_cells,receipt_run_id,source_run_id
211,research-mfl-classification-roster-bridge-shard-90-31663728938,9167985227,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1081,1081,1081,1081,1081,1081,31682677203,31663728938
212,research-mfl-classification-roster-bridge-shard-91-31663728938,9168035415,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,688,688,688,688,688,688,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-92-31663728938,9167991879,source_diagnostic_only,archive lacks team_signals.parquet and player_bridge.parquet,0,0,0,0,0,0,31682677203,31663728938
213,research-mfl-classification-roster-bridge-shard-93-31663728938,9168023467,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1158,1158,1158,1158,1158,1158,31682677203,31663728938
214,research-mfl-classification-roster-bridge-shard-94-31663728938,9168044869,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,3021,2986,2986,3021,2986,3021,31682677203,31663728938
215,research-mfl-classification-roster-bridge-shard-95-31663728938,9168063509,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,881,881,881,881,881,881,31682677203,31663728938
216,research-mfl-classification-roster-bridge-shard-96-31663728938,9168068963,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,642,642,642,642,642,642,31682677203,31663728938
217,research-mfl-classification-roster-bridge-shard-97-31663728938,9168102123,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,993,993,993,993,993,993,31682677203,31663728938
218,research-mfl-classification-roster-bridge-shard-98-31663728938,9168083884,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,971,971,971,971,971,971,31682677203,31663728938
219,research-mfl-classification-roster-bridge-shard-99-31663728938,9168109988,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2089,2089,2089,2089,2089,2089,31682677203,31663728938
